STNAME,CTYNAME,Year,population
Alabama,Autauga,1970,24661
Alabama,Autauga,1971,25503
Alabama,Autauga,1972,27156
Alabama,Autauga,1973,28453
Alabama,Autauga,1974,29261
Alabama,Autauga,1975,29716
Alabama,Autauga,1976,29892
Alabama,Autauga,1977,30457
Alabama,Autauga,1978,30879
Alabama,Autauga,1979,32050
Alabama,Baldwin,1970,59531
Alabama,Baldwin,1971,60147
Alabama,Baldwin,1972,62441
Alabama,Baldwin,1973,64201
Alabama,Baldwin,1974,66073
Alabama,Baldwin,1975,67860
Alabama,Baldwin,1976,70239
Alabama,Baldwin,1977,72395
Alabama,Baldwin,1978,74549
Alabama,Baldwin,1979,76583
Alabama,Barbour,1970,22644
Alabama,Barbour,1971,23089
Alabama,Barbour,1972,22852
Alabama,Barbour,1973,23453
Alabama,Barbour,1974,23434
Alabama,Barbour,1975,24872
Alabama,Barbour,1976,25607
Alabama,Barbour,1977,24687
Alabama,Barbour,1978,24522
Alabama,Barbour,1979,24429
Alabama,Bibb,1970,13824
Alabama,Bibb,1971,13909
Alabama,Bibb,1972,14085
Alabama,Bibb,1973,14657
Alabama,Bibb,1974,14379
Alabama,Bibb,1975,14770
Alabama,Bibb,1976,14760
Alabama,Bibb,1977,15254
Alabama,Bibb,1978,15342
Alabama,Bibb,1979,15539
Alabama,Blount,1970,27042
Alabama,Blount,1971,27817
Alabama,Blount,1972,29295
Alabama,Blount,1973,30359
Alabama,Blount,1974,31542
Alabama,Blount,1975,32221
Alabama,Blount,1976,33050
Alabama,Blount,1977,34222
Alabama,Blount,1978,34846
Alabama,Blount,1979,35961
Alabama,Bullock,1970,11736
Alabama,Bullock,1971,11403
Alabama,Bullock,1972,11447
Alabama,Bullock,1973,11274
Alabama,Bullock,1974,11145
Alabama,Bullock,1975,11099
Alabama,Bullock,1976,11112
Alabama,Bullock,1977,11016
Alabama,Bullock,1978,10956
Alabama,Bullock,1979,10802
Alabama,Butler,1970,21966
Alabama,Butler,1971,21844
Alabama,Butler,1972,21527
Alabama,Butler,1973,21237
Alabama,Butler,1974,21151
Alabama,Butler,1975,21169
Alabama,Butler,1976,21355
Alabama,Butler,1977,20877
Alabama,Butler,1978,20918
Alabama,Butler,1979,21210
Alabama,Calhoun,1970,103193
Alabama,Calhoun,1971,103629
Alabama,Calhoun,1972,103849
Alabama,Calhoun,1973,105032
Alabama,Calhoun,1974,105922
Alabama,Calhoun,1975,106996
Alabama,Calhoun,1976,112761
Alabama,Calhoun,1977,112796
Alabama,Calhoun,1978,116470
Alabama,Calhoun,1979,116739
Alabama,Chambers,1970,36337
Alabama,Chambers,1971,36271
Alabama,Chambers,1972,36074
Alabama,Chambers,1973,36948
Alabama,Chambers,1974,37536
Alabama,Chambers,1975,37536
Alabama,Chambers,1976,37943
Alabama,Chambers,1977,38367
Alabama,Chambers,1978,38732
Alabama,Chambers,1979,39303
Alabama,Cherokee,1970,15782
Alabama,Cherokee,1971,16530
Alabama,Cherokee,1972,16858
Alabama,Cherokee,1973,17239
Alabama,Cherokee,1974,17661
Alabama,Cherokee,1975,18072
Alabama,Cherokee,1976,18565
Alabama,Cherokee,1977,18429
Alabama,Cherokee,1978,18597
Alabama,Cherokee,1979,18649
Alabama,Chilton,1970,25259
Alabama,Chilton,1971,25636
Alabama,Chilton,1972,26439
Alabama,Chilton,1973,27242
Alabama,Chilton,1974,27930
Alabama,Chilton,1975,28570
Alabama,Chilton,1976,29042
Alabama,Chilton,1977,29306
Alabama,Chilton,1978,29915
Alabama,Chilton,1979,30475
Alabama,Choctaw,1970,16559
Alabama,Choctaw,1971,16508
Alabama,Choctaw,1972,16686
Alabama,Choctaw,1973,16991
Alabama,Choctaw,1974,16818
Alabama,Choctaw,1975,17230
Alabama,Choctaw,1976,17447
Alabama,Choctaw,1977,17327
Alabama,Choctaw,1978,16931
Alabama,Choctaw,1979,16910
Alabama,Clarke,1970,26547
Alabama,Clarke,1971,25873
Alabama,Clarke,1972,26280
Alabama,Clarke,1973,26544
Alabama,Clarke,1974,26907
Alabama,Clarke,1975,27384
Alabama,Clarke,1976,27845
Alabama,Clarke,1977,28222
Alabama,Clarke,1978,28357
Alabama,Clarke,1979,27648
Alabama,Clay,1970,12683
Alabama,Clay,1971,12931
Alabama,Clay,1972,13247
Alabama,Clay,1973,12967
Alabama,Clay,1974,13145
Alabama,Clay,1975,13157
Alabama,Clay,1976,13381
Alabama,Clay,1977,13318
Alabama,Clay,1978,13686
Alabama,Clay,1979,13890
Alabama,Cleburne,1970,11032
Alabama,Cleburne,1971,11170
Alabama,Cleburne,1972,11382
Alabama,Cleburne,1973,11653
Alabama,Cleburne,1974,11838
Alabama,Cleburne,1975,11989
Alabama,Cleburne,1976,12065
Alabama,Cleburne,1977,12088
Alabama,Cleburne,1978,12222
Alabama,Cleburne,1979,12560
Alabama,Coffee,1970,35172
Alabama,Coffee,1971,36406
Alabama,Coffee,1972,36176
Alabama,Coffee,1973,35654
Alabama,Coffee,1974,35518
Alabama,Coffee,1975,36439
Alabama,Coffee,1976,36953
Alabama,Coffee,1977,37348
Alabama,Coffee,1978,37440
Alabama,Coffee,1979,37847
Alabama,Colbert,1970,49781
Alabama,Colbert,1971,50382
Alabama,Colbert,1972,50728
Alabama,Colbert,1973,51285
Alabama,Colbert,1974,50781
Alabama,Colbert,1975,52074
Alabama,Colbert,1976,52042
Alabama,Colbert,1977,53123
Alabama,Colbert,1978,53312
Alabama,Colbert,1979,54093
Alabama,Conecuh,1970,15660
Alabama,Conecuh,1971,15779
Alabama,Conecuh,1972,15786
Alabama,Conecuh,1973,15686
Alabama,Conecuh,1974,15513
Alabama,Conecuh,1975,15794
Alabama,Conecuh,1976,15514
Alabama,Conecuh,1977,15434
Alabama,Conecuh,1978,15811
Alabama,Conecuh,1979,15929
Alabama,Coosa,1970,10669
Alabama,Coosa,1971,10710
Alabama,Coosa,1972,10844
Alabama,Coosa,1973,11394
Alabama,Coosa,1974,11471
Alabama,Coosa,1975,11466
Alabama,Coosa,1976,11235
Alabama,Coosa,1977,11513
Alabama,Coosa,1978,11650
Alabama,Coosa,1979,11628
Alabama,Covington,1970,34174
Alabama,Covington,1971,34612
Alabama,Covington,1972,34984
Alabama,Covington,1973,35349
Alabama,Covington,1974,36057
Alabama,Covington,1975,36192
Alabama,Covington,1976,36234
Alabama,Covington,1977,36266
Alabama,Covington,1978,36482
Alabama,Covington,1979,37078
Alabama,Crenshaw,1970,13221
Alabama,Crenshaw,1971,13357
Alabama,Crenshaw,1972,13494
Alabama,Crenshaw,1973,13942
Alabama,Crenshaw,1974,14022
Alabama,Crenshaw,1975,13841
Alabama,Crenshaw,1976,13910
Alabama,Crenshaw,1977,13926
Alabama,Crenshaw,1978,13909
Alabama,Crenshaw,1979,14081
